"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"BEL","LIFEEXP","WOMEN","YR","A","2016",84,
"BEL","LIFEEXP","WOMEN","YR","A","2017",83.9,
"BEL","LIFEEXP","WOMEN","YR","A","2018",83.9,
"CAN","LIFEEXP","MEN","YR","A","2015",79.8,
"CAN","LIFEEXP","MEN","YR","A","2016",79.9,
"CAN","LIFEEXP","MEN","YR","A","2017",79.9,
"CAN","LIFEEXP","MEN","YR","A","2018",79.9,
"CAN","LIFEEXP","TOT","YR","A","2015",81.9,
"CAN","LIFEEXP","TOT","YR","A","2016",82,
"CAN","LIFEEXP","TOT","YR","A","2017",82,
"CAN","LIFEEXP","TOT","YR","A","2018",82,
"CAN","LIFEEXP","WOMEN","YR","A","2015",83.9,
"CAN","LIFEEXP","WOMEN","YR","A","2016",84,
"CAN","LIFEEXP","WOMEN","YR","A","2017",84,
"CAN","LIFEEXP","WOMEN","YR","A","2018",84.1,
"CZE","LIFEEXP","MEN","YR","A","2015",75.7,
"CZE","LIFEEXP","MEN","YR","A","2016",76.1,
"CZE","LIFEEXP","MEN","YR","A","2017",76.1,
"CZE","LIFEEXP","MEN","YR","A","2018",76.2,
"CZE","LIFEEXP","TOT","YR","A","2015",78.7,
"CZE","LIFEEXP","TOT","YR","A","2016",79.1,
"CZE","LIFEEXP","TOT","YR","A","2017",79.1,
"CZE","LIFEEXP","TOT","YR","A","2018",79.1,
"CZE","LIFEEXP","WOMEN","YR","A","2015",81.6,
"CZE","LIFEEXP","WOMEN","YR","A","2016",82.1,
"CZE","LIFEEXP","WOMEN","YR","A","2017",82,
"CZE","LIFEEXP","WOMEN","YR","A","2018",82,
"DNK","LIFEEXP","MEN","YR","A","2015",78.8,
"DNK","LIFEEXP","MEN","YR","A","2016",79,
"DNK","LIFEEXP","MEN","YR","A","2017",79.2,
"DNK","LIFEEXP","MEN","YR","A","2018",79.1,
"DNK","LIFEEXP","TOT","YR","A","2015",80.8,
"DNK","LIFEEXP","TOT","YR","A","2016",80.9,
"DNK","LIFEEXP","TOT","YR","A","2017",81.2,
"DNK","LIFEEXP","TOT","YR","A","2018",81,
"DNK","LIFEEXP","WOMEN","YR","A","2015",82.7,
"DNK","LIFEEXP","WOMEN","YR","A","2016",82.8,
"DNK","LIFEEXP","WOMEN","YR","A","2017",83.1,
"DNK","LIFEEXP","WOMEN","YR","A","2018",82.9,
"FIN","LIFEEXP","MEN","YR","A","2015",78.7,
"FIN","LIFEEXP","MEN","YR","A","2016",78.6,
"FIN","LIFEEXP","MEN","YR","A","2017",78.9,
"FIN","LIFEEXP","MEN","YR","A","2018",79.1,
"FIN","LIFEEXP","TOT","YR","A","2015",81.6,
"FIN","LIFEEXP","TOT","YR","A","2016",81.5,
"FIN","LIFEEXP","TOT","YR","A","2017",81.7,
"FIN","LIFEEXP","TOT","YR","A","2018",81.8,
"FIN","LIFEEXP","WOMEN","YR","A","2015",84.4,
"FIN","LIFEEXP","WOMEN","YR","A","2016",84.4,
"FIN","LIFEEXP","WOMEN","YR","A","2017",84.5,
"FIN","LIFEEXP","WOMEN","YR","A","2018",84.5,
"FRA","LIFEEXP","MEN","YR","A","2015",79.2,
"FRA","LIFEEXP","MEN","YR","A","2016",79.5,
"FRA","LIFEEXP","MEN","YR","A","2017",79.6,
"FRA","LIFEEXP","MEN","YR","A","2018",79.7,
"FRA","LIFEEXP","TOT","YR","A","2015",82.4,
"FRA","LIFEEXP","TOT","YR","A","2016",82.7,
"FRA","LIFEEXP","TOT","YR","A","2017",82.7,
"FRA","LIFEEXP","TOT","YR","A","2018",82.8,
"FRA","LIFEEXP","WOMEN","YR","A","2015",85.6,
"FRA","LIFEEXP","WOMEN","YR","A","2016",85.8,
"FRA","LIFEEXP","WOMEN","YR","A","2017",85.7,
"FRA","LIFEEXP","WOMEN","YR","A","2018",85.9,
"DEU","LIFEEXP","MEN","YR","A","2015",78.3,
"DEU","LIFEEXP","MEN","YR","A","2016",78.6,
"DEU","LIFEEXP","MEN","YR","A","2017",78.7,
"DEU","LIFEEXP","MEN","YR","A","2018",78.6,
"DEU","LIFEEXP","TOT","YR","A","2015",80.7,
"DEU","LIFEEXP","TOT","YR","A","2016",81.1,
"DEU","LIFEEXP","TOT","YR","A","2017",81.1,
"DEU","LIFEEXP","TOT","YR","A","2018",81,
"DEU","LIFEEXP","WOMEN","YR","A","2015",83.1,
"DEU","LIFEEXP","WOMEN","YR","A","2016",83.5,
"DEU","LIFEEXP","WOMEN","YR","A","2017",83.4,
"DEU","LIFEEXP","WOMEN","YR","A","2018",83.3,
"GRC","LIFEEXP","MEN","YR","A","2015",78.5,
"GRC","LIFEEXP","MEN","YR","A","2016",78.9,
"GRC","LIFEEXP","MEN","YR","A","2017",78.8,
"GRC","LIFEEXP","MEN","YR","A","2018",79.3,
"GRC","LIFEEXP","TOT","YR","A","2015",81.1,
"GRC","LIFEEXP","TOT","YR","A","2016",81.5,
"GRC","LIFEEXP","TOT","YR","A","2017",81.4,
"GRC","LIFEEXP","TOT","YR","A","2018",81.9,
"GRC","LIFEEXP","WOMEN","YR","A","2015",83.7,
"GRC","LIFEEXP","WOMEN","YR","A","2016",84,
"GRC","LIFEEXP","WOMEN","YR","A","2017",83.9,
"GRC","LIFEEXP","WOMEN","YR","A","2018",84.4,
"HUN","LIFEEXP","MEN","YR","A","2015",72.3,
"HUN","LIFEEXP","MEN","YR","A","2016",72.6,
"HUN","LIFEEXP","MEN","YR","A","2017",72.5,
"HUN","LIFEEXP","MEN","YR","A","2018",72.7,
"HUN","LIFEEXP","TOT","YR","A","2015",75.7,
"HUN","LIFEEXP","TOT","YR","A","2016",76.2,
"HUN","LIFEEXP","TOT","YR","A","2017",75.9,
"HUN","LIFEEXP","TOT","YR","A","2018",76.2,
"HUN","LIFEEXP","WOMEN","YR","A","2015",79,
"HUN","LIFEEXP","WOMEN","YR","A","2016",79.7,
"HUN","LIFEEXP","WOMEN","YR","A","2017",79.3,
"HUN","LIFEEXP","WOMEN","YR","A","2018",79.6,
"ISL","LIFEEXP","MEN","YR","A","2015",81.2,
"ISL","LIFEEXP","MEN","YR","A","2016",80.4,
"ISL","LIFEEXP","MEN","YR","A","2017",81.1,
"ISL","LIFEEXP","MEN","YR","A","2018",81.3,
"ISL","LIFEEXP","TOT","YR","A","2015",82.5,
"ISL","LIFEEXP","TOT","YR","A","2016",82.3,
"ISL","LIFEEXP","TOT","YR","A","2017",82.7,
"ISL","LIFEEXP","TOT","YR","A","2018",82.9,
"ISL","LIFEEXP","WOMEN","YR","A","2015",83.8,
"ISL","LIFEEXP","WOMEN","YR","A","2016",84.1,
"ISL","LIFEEXP","WOMEN","YR","A","2017",84.3,
"ISL","LIFEEXP","WOMEN","YR","A","2018",84.5,
"IRL","LIFEEXP","MEN","YR","A","2015",79.6,
"IRL","LIFEEXP","MEN","YR","A","2016",79.8,
"IRL","LIFEEXP","MEN","YR","A","2017",80.4,
"IRL","LIFEEXP","MEN","YR","A","2018",80.5,
"IRL","LIFEEXP","TOT","YR","A","2015",81.5,
"IRL","LIFEEXP","TOT","YR","A","2016",81.7,
"IRL","LIFEEXP","TOT","YR","A","2017",82.2,
"IRL","LIFEEXP","TOT","YR","A","2018",82.3,
"IRL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"IRL","LIFEEXP","WOMEN","YR","A","2016",83.6,
"IRL","LIFEEXP","WOMEN","YR","A","2017",84,
"IRL","LIFEEXP","WOMEN","YR","A","2018",84.1,
"ITA","LIFEEXP","MEN","YR","A","2015",80.3,
"ITA","LIFEEXP","MEN","YR","A","2016",81,
"ITA","LIFEEXP","MEN","YR","A","2017",80.8,
"ITA","LIFEEXP","MEN","YR","A","2018",81.2,
"ITA","LIFEEXP","TOT","YR","A","2015",82.6,
"ITA","LIFEEXP","TOT","YR","A","2016",83.3,
"ITA","LIFEEXP","TOT","YR","A","2017",83,
"ITA","LIFEEXP","TOT","YR","A","2018",83.4,
"ITA","LIFEEXP","WOMEN","YR","A","2015",84.9,
"ITA","LIFEEXP","WOMEN","YR","A","2016",85.6,
"ITA","LIFEEXP","WOMEN","YR","A","2017",85.2,
"ITA","LIFEEXP","WOMEN","YR","A","2018",85.6,
"JPN","LIFEEXP","MEN","YR","A","2015",80.8,
"JPN","LIFEEXP","MEN","YR","A","2016",81,
"JPN","LIFEEXP","MEN","YR","A","2017",81.1,
"JPN","LIFEEXP","TOT","YR","A","2015",83.9,
"JPN","LIFEEXP","TOT","YR","A","2016",84.1,
"JPN","LIFEEXP","TOT","YR","A","2017",84.2,
"JPN","LIFEEXP","WOMEN","YR","A","2015",87,
"JPN","LIFEEXP","WOMEN","YR","A","2016",87.1,
"JPN","LIFEEXP","WOMEN","YR","A","2017",87.3,
"KOR","LIFEEXP","MEN","YR","A","2015",79,
"KOR","LIFEEXP","MEN","YR","A","2016",79.3,
"KOR","LIFEEXP","MEN","YR","A","2017",79.7,
"KOR","LIFEEXP","MEN","YR","A","2018",79.7,
"KOR","LIFEEXP","TOT","YR","A","2015",82.1,
"KOR","LIFEEXP","TOT","YR","A","2016",82.4,
"KOR","LIFEEXP","TOT","YR","A","2017",82.7,
"KOR","LIFEEXP","TOT","YR","A","2018",82.7,
"KOR","LIFEEXP","WOMEN","YR","A","2015",85.2,
"KOR","LIFEEXP","WOMEN","YR","A","2016",85.4,
"KOR","LIFEEXP","WOMEN","YR","A","2017",85.7,
"KOR","LIFEEXP","WOMEN","YR","A","2018",85.7,
"LUX","LIFEEXP","MEN","YR","A","2015",80,
"LUX","LIFEEXP","MEN","YR","A","2016",80.1,
"LUX","LIFEEXP","MEN","YR","A","2017",79.9,
"LUX","LIFEEXP","MEN","YR","A","2018",80.1,
"LUX","LIFEEXP","TOT","YR","A","2015",82.4,
"LUX","LIFEEXP","TOT","YR","A","2016",82.8,
"LUX","LIFEEXP","TOT","YR","A","2017",82.2,
"LUX","LIFEEXP","TOT","YR","A","2018",82.4,
"LUX","LIFEEXP","WOMEN","YR","A","2015",84.7,
"LUX","LIFEEXP","WOMEN","YR","A","2016",85.4,
"LUX","LIFEEXP","WOMEN","YR","A","2017",84.4,
"LUX","LIFEEXP","WOMEN","YR","A","2018",84.6,
"MEX","LIFEEXP","MEN","YR","A","2015",72.3,
"MEX","LIFEEXP","MEN","YR","A","2016",72.6,
"MEX","LIFEEXP","MEN","YR","A","2017",72.9,
"MEX","LIFEEXP","MEN","YR","A","2018",72.2,"P"
"MEX","LIFEEXP","TOT","YR","A","2015",75,
"MEX","LIFEEXP","TOT","YR","A","2016",75.2,
"MEX","LIFEEXP","TOT","YR","A","2017",75.4,
"MEX","LIFEEXP","TOT","YR","A","2018",75,"P"
"MEX","LIFEEXP","WOMEN","YR","A","2015",77.7,
"MEX","LIFEEXP","WOMEN","YR","A","2016",77.8,
"MEX","LIFEEXP","WOMEN","YR","A","2017",77.9,
"MEX","LIFEEXP","WOMEN","YR","A","2018",77.9,"P"
"NLD","LIFEEXP","MEN","YR","A","2015",79.9,
"NLD","LIFEEXP","MEN","YR","A","2016",80,
"NLD","LIFEEXP","MEN","YR","A","2017",80.2,
"NLD","LIFEEXP","MEN","YR","A","2018",80.3,
"NLD","LIFEEXP","TOT","YR","A","2015",81.6,
"NLD","LIFEEXP","TOT","YR","A","2016",81.6,
"NLD","LIFEEXP","TOT","YR","A","2017",81.8,
"NLD","LIFEEXP","TOT","YR","A","2018",81.9,
"NLD","LIFEEXP","WOMEN","YR","A","2015",83.2,
"NLD","LIFEEXP","WOMEN","YR","A","2016",83.2,
"NLD","LIFEEXP","WOMEN","YR","A","2017",83.4,
"NLD","LIFEEXP","WOMEN","YR","A","2018",83.4,
"NZL","LIFEEXP","MEN","YR","A","2015",79.9,
"NZL","LIFEEXP","MEN","YR","A","2016",80,
"NZL","LIFEEXP","MEN","YR","A","2017",80.2,
"NZL","LIFEEXP","MEN","YR","A","2018",80,
"NZL","LIFEEXP","TOT","YR","A","2015",81.7,
"NZL","LIFEEXP","TOT","YR","A","2016",81.7,
"NZL","LIFEEXP","TOT","YR","A","2017",81.9,
"NZL","LIFEEXP","TOT","YR","A","2018",81.8,
"NZL","LIFEEXP","WOMEN","YR","A","2015",83.4,
"NZL","LIFEEXP","WOMEN","YR","A","2016",83.4,
"NZL","LIFEEXP","WOMEN","YR","A","2017",83.6,
"NZL","LIFEEXP","WOMEN","YR","A","2018",83.5,
"NOR","LIFEEXP","MEN","YR","A","2015",80.5,
"NOR","LIFEEXP","MEN","YR","A","2016",80.7,
"NOR","LIFEEXP","MEN","YR","A","2017",81,
"NOR","LIFEEXP","MEN","YR","A","2018",81.1,
"NOR","LIFEEXP","TOT","YR","A","2015",82.4,
"NOR","LIFEEXP","TOT","YR","A","2016",82.5,
"NOR","LIFEEXP","TOT","YR","A","2017",82.7,
"NOR","LIFEEXP","TOT","YR","A","2018",82.8,
"NOR","LIFEEXP","WOMEN","YR","A","2015",84.2,
"NOR","LIFEEXP","WOMEN","YR","A","2016",84.2,
"NOR","LIFEEXP","WOMEN","YR","A","2017",84.3,
"NOR","LIFEEXP","WOMEN","YR","A","2018",84.5,
"POL","LIFEEXP","MEN","YR","A","2015",73.5,
"POL","LIFEEXP","MEN","YR","A","2016",73.9,
"POL","LIFEEXP","MEN","YR","A","2017",73.9,
"POL","LIFEEXP","MEN","YR","A","2018",73.7,
"POL","LIFEEXP","TOT","YR","A","2015",77.6,
"POL","LIFEEXP","TOT","YR","A","2016",78,
"POL","LIFEEXP","TOT","YR","A","2017",77.9,
"POL","LIFEEXP","TOT","YR","A","2018",77.7,
"POL","LIFEEXP","WOMEN","YR","A","2015",81.6,
"POL","LIFEEXP","WOMEN","YR","A","2016",82,
"POL","LIFEEXP","WOMEN","YR","A","2017",81.8,
"POL","LIFEEXP","WOMEN","YR","A","2018",81.7,
"PRT","LIFEEXP","MEN","YR","A","2015",78.1,
"PRT","LIFEEXP","MEN","YR","A","2016",78.1,
"PRT","LIFEEXP","MEN","YR","A","2017",78.4,
"PRT","LIFEEXP","MEN","YR","A","2018",78.3,
"PRT","LIFEEXP","TOT","YR","A","2015",81.2,
"PRT","LIFEEXP","TOT","YR","A","2016",81.2,
"PRT","LIFEEXP","TOT","YR","A","2017",81.5,
"PRT","LIFEEXP","TOT","YR","A","2018",81.4,
"PRT","LIFEEXP","WOMEN","YR","A","2015",84.3,
"PRT","LIFEEXP","WOMEN","YR","A","2016",84.3,
"PRT","LIFEEXP","WOMEN","YR","A","2017",84.6,
"PRT","LIFEEXP","WOMEN","YR","A","2018",84.5,
"SVK","LIFEEXP","MEN","YR","A","2015",73.1,
"SVK","LIFEEXP","MEN","YR","A","2016",73.8,
"SVK","LIFEEXP","MEN","YR","A","2017",73.8,
"SVK","LIFEEXP","MEN","YR","A","2018",73.9,
"SVK","LIFEEXP","TOT","YR","A","2015",76.7,
"SVK","LIFEEXP","TOT","YR","A","2016",77.3,
"SVK","LIFEEXP","TOT","YR","A","2017",77.3,
"SVK","LIFEEXP","TOT","YR","A","2018",77.4,
"SVK","LIFEEXP","WOMEN","YR","A","2015",80.2,
"SVK","LIFEEXP","WOMEN","YR","A","2016",80.7,
"SVK","LIFEEXP","WOMEN","YR","A","2017",80.7,
"SVK","LIFEEXP","WOMEN","YR","A","2018",80.8,
"ESP","LIFEEXP","MEN","YR","A","2015",80.1,
"ESP","LIFEEXP","MEN","YR","A","2016",80.5,
"ESP","LIFEEXP","MEN","YR","A","2017",80.6,
"ESP","LIFEEXP","MEN","YR","A","2018",80.7,
"ESP","LIFEEXP","TOT","YR","A","2015",82.9,
"ESP","LIFEEXP","TOT","YR","A","2016",83.4,
"ESP","LIFEEXP","TOT","YR","A","2017",83.4,
"ESP","LIFEEXP","TOT","YR","A","2018",83.5,
"ESP","LIFEEXP","WOMEN","YR","A","2015",85.7,
"ESP","LIFEEXP","WOMEN","YR","A","2016",86.3,
"ESP","LIFEEXP","WOMEN","YR","A","2017",86.1,
"ESP","LIFEEXP","WOMEN","YR","A","2018",86.3,
"SWE","LIFEEXP","MEN","YR","A","2015",80.4,
"SWE","LIFEEXP","MEN","YR","A","2016",80.6,
"SWE","LIFEEXP","MEN","YR","A","2017",80.8,
"SWE","LIFEEXP","MEN","YR","A","2018",80.9,
"SWE","LIFEEXP","TOT","YR","A","2015",82.3,
"SWE","LIFEEXP","TOT","YR","A","2016",82.4,
"SWE","LIFEEXP","TOT","YR","A","2017",82.5,
"SWE","LIFEEXP","TOT","YR","A","2018",82.6,
"SWE","LIFEEXP","WOMEN","YR","A","2015",84.1,
"SWE","LIFEEXP","WOMEN","YR","A","2016",84.1,
"SWE","LIFEEXP","WOMEN","YR","A","2017",84.1,
"SWE","LIFEEXP","WOMEN","YR","A","2018",84.3,
"CHE","LIFEEXP","MEN","YR","A","2015",80.8,
"CHE","LIFEEXP","MEN","YR","A","2016",81.7,
"CHE","LIFEEXP","MEN","YR","A","2017",81.6,
"CHE","LIFEEXP","MEN","YR","A","2018",81.9,
"CHE","LIFEEXP","TOT","YR","A","2015",83,
"CHE","LIFEEXP","TOT","YR","A","2016",83.7,
"CHE","LIFEEXP","TOT","YR","A","2017",83.6,
"CHE","LIFEEXP","TOT","YR","A","2018",83.8,
"CHE","LIFEEXP","WOMEN","YR","A","2015",85.1,
"CHE","LIFEEXP","WOMEN","YR","A","2016",85.6,
"CHE","LIFEEXP","WOMEN","YR","A","2017",85.6,
"CHE","LIFEEXP","WOMEN","YR","A","2018",85.7,
"TUR","LIFEEXP","MEN","YR","A","2015",75.3,
"TUR","LIFEEXP","MEN","YR","A","2016",75.3,
"TUR","LIFEEXP","MEN","YR","A","2017",75.3,
"TUR","LIFEEXP","MEN","YR","A","2018",75.6,
"TUR","LIFEEXP","TOT","YR","A","2015",78,
"TUR","LIFEEXP","TOT","YR","A","2016",78,
"TUR","LIFEEXP","TOT","YR","A","2017",78.1,
"TUR","LIFEEXP","TOT","YR","A","2018",78.3,
"TUR","LIFEEXP","WOMEN","YR","A","2015",80.7,
"TUR","LIFEEXP","WOMEN","YR","A","2016",80.7,
"TUR","LIFEEXP","WOMEN","YR","A","2017",80.8,
"TUR","LIFEEXP","WOMEN","YR","A","2018",81,
"GBR","LIFEEXP","MEN","YR","A","2015",79.2,
"GBR","LIFEEXP","MEN","YR","A","2016",79.4,
"GBR","LIFEEXP","MEN","YR","A","2017",79.5,
"GBR","LIFEEXP","MEN","YR","A","2018",79.5,
"GBR","LIFEEXP","TOT","YR","A","2015",81,
"GBR","LIFEEXP","TOT","YR","A","2016",81.2,
"GBR","LIFEEXP","TOT","YR","A","2017",81.3,
"GBR","LIFEEXP","TOT","YR","A","2018",81.3,
"GBR","LIFEEXP","WOMEN","YR","A","2015",82.8,
"GBR","LIFEEXP","WOMEN","YR","A","2016",83,
"GBR","LIFEEXP","WOMEN","YR","A","2017",83.1,
"GBR","LIFEEXP","WOMEN","YR","A","2018",83.1,
"USA","LIFEEXP","MEN","YR","A","2015",76.3,
"USA","LIFEEXP","MEN","YR","A","2016",76.2,
"USA","LIFEEXP","MEN","YR","A","2017",76.1,
"USA","LIFEEXP","MEN","YR","A","2018",76.2,
"USA","LIFEEXP","TOT","YR","A","2015",78.7,
"USA","LIFEEXP","TOT","YR","A","2016",78.7,
"USA","LIFEEXP","TOT","YR","A","2017",78.6,
"USA","LIFEEXP","TOT","YR","A","2018",78.7,
"USA","LIFEEXP","WOMEN","YR","A","2015",81.1,
"USA","LIFEEXP","WOMEN","YR","A","2016",81.1,
"USA","LIFEEXP","WOMEN","YR","A","2017",81.1,
"USA","LIFEEXP","WOMEN","YR","A","2018",81.2,
"BRA","LIFEEXP","MEN","YR","A","2015",71.3,
"BRA","LIFEEXP","MEN","YR","A","2016",71.6,
"BRA","LIFEEXP","MEN","YR","A","2017",71.8,
"BRA","LIFEEXP","MEN","YR","A","2018",72,
"BRA","LIFEEXP","TOT","YR","A","2015",75,
"BRA","LIFEEXP","TOT","YR","A","2016",75.3,
"BRA","LIFEEXP","TOT","YR","A","2017",75.5,
"BRA","LIFEEXP","TOT","YR","A","2018",75.7,
"BRA","LIFEEXP","WOMEN","YR","A","2015",78.7,
"BRA","LIFEEXP","WOMEN","YR","A","2016",78.9,
"BRA","LIFEEXP","WOMEN","YR","A","2017",79.2,
"BRA","LIFEEXP","WOMEN","YR","A","2018",79.4,
"CHL","LIFEEXP","MEN","YR","A","2015",77,
"CHL","LIFEEXP","MEN","YR","A","2016",77.2,
"CHL","LIFEEXP","MEN","YR","A","2017",77.4,
"CHL","LIFEEXP","MEN","YR","A","2018",77.7,
"CHL","LIFEEXP","MEN","YR","A","2019",77.9,
"CHL","LIFEEXP","TOT","YR","A","2015",79.8,
"CHL","LIFEEXP","TOT","YR","A","2016",80,
"CHL","LIFEEXP","TOT","YR","A","2017",80.2,
"CHL","LIFEEXP","TOT","YR","A","2018",80.4,
"CHL","LIFEEXP","TOT","YR","A","2019",80.6,
"CHL","LIFEEXP","WOMEN","YR","A","2015",82.7,
"CHL","LIFEEXP","WOMEN","YR","A","2016",82.9,
"CHL","LIFEEXP","WOMEN","YR","A","2017",83,
"CHL","LIFEEXP","WOMEN","YR","A","2018",83.2,
"CHL","LIFEEXP","WOMEN","YR","A","2019",83.4,
"CHN","LIFEEXP","MEN","YR","A","2015",73.8,
"CHN","LIFEEXP","MEN","YR","A","2016",74.1,
"CHN","LIFEEXP","MEN","YR","A","2017",74.3,
"CHN","LIFEEXP","MEN","YR","A","2018",74.5,
"CHN","LIFEEXP","TOT","YR","A","2015",76,
"CHN","LIFEEXP","TOT","YR","A","2016",76.3,
"CHN","LIFEEXP","TOT","YR","A","2017",76.6,
"CHN","LIFEEXP","TOT","YR","A","2018",76.8,
"CHN","LIFEEXP","WOMEN","YR","A","2015",78.3,
"CHN","LIFEEXP","WOMEN","YR","A","2016",78.6,
"CHN","LIFEEXP","WOMEN","YR","A","2017",78.8,
"CHN","LIFEEXP","WOMEN","YR","A","2018",79.1,
"EST","LIFEEXP","MEN","YR","A","2015",73.2,
"EST","LIFEEXP","MEN","YR","A","2016",73.3,
"EST","LIFEEXP","MEN","YR","A","2017",73.8,
"EST","LIFEEXP","MEN","YR","A","2018",74,
"EST","LIFEEXP","TOT","YR","A","2015",77.7,
"EST","LIFEEXP","TOT","YR","A","2016",77.8,
"EST","LIFEEXP","TOT","YR","A","2017",78.2,
"EST","LIFEEXP","TOT","YR","A","2018",78.4,
"EST","LIFEEXP","WOMEN","YR","A","2015",82.2,
"EST","LIFEEXP","WOMEN","YR","A","2016",82.2,
"EST","LIFEEXP","WOMEN","YR","A","2017",82.6,
"EST","LIFEEXP","WOMEN","YR","A","2018",82.7,
"IND","LIFEEXP","MEN","YR","A","2015",67.5,
"IND","LIFEEXP","MEN","YR","A","2016",67.7,
"IND","LIFEEXP","MEN","YR","A","2017",68,
"IND","LIFEEXP","MEN","YR","A","2018",68.2,
"IND","LIFEEXP","TOT","YR","A","2015",68.7,
"IND","LIFEEXP","TOT","YR","A","2016",68.9,
"IND","LIFEEXP","TOT","YR","A","2017",69.2,
"IND","LIFEEXP","TOT","YR","A","2018",69.5,
"IND","LIFEEXP","WOMEN","YR","A","2015",69.8,
"IND","LIFEEXP","WOMEN","YR","A","2016",70.1,
"IND","LIFEEXP","WOMEN","YR","A","2017",70.4,
"IND","LIFEEXP","WOMEN","YR","A","2018",70.7,
"IDN","LIFEEXP","MEN","YR","A","2015",68.7,
"IDN","LIFEEXP","MEN","YR","A","2016",68.9,
"IDN","LIFEEXP","MEN","YR","A","2017",69.2,
"IDN","LIFEEXP","MEN","YR","A","2018",69.4,
"IDN","LIFEEXP","TOT","YR","A","2015",70.8,
"IDN","LIFEEXP","TOT","YR","A","2016",71.1,
"IDN","LIFEEXP","TOT","YR","A","2017",71.3,
"IDN","LIFEEXP","TOT","YR","A","2018",71.6,
"IDN","LIFEEXP","WOMEN","YR","A","2015",73,
"IDN","LIFEEXP","WOMEN","YR","A","2016",73.3,
"IDN","LIFEEXP","WOMEN","YR","A","2017",73.5,
"IDN","LIFEEXP","WOMEN","YR","A","2018",73.7,
"ISR","LIFEEXP","MEN","YR","A","2015",80.1,
"ISR","LIFEEXP","MEN","YR","A","2016",80.7,
"ISR","LIFEEXP","MEN","YR","A","2017",80.6,
"ISR","LIFEEXP","MEN","YR","A","2018",80.9,
"ISR","LIFEEXP","TOT","YR","A","2015",82.1,
"ISR","LIFEEXP","TOT","YR","A","2016",82.5,
"ISR","LIFEEXP","TOT","YR","A","2017",82.6,
"ISR","LIFEEXP","TOT","YR","A","2018",82.9,
"ISR","LIFEEXP","WOMEN","YR","A","2015",84.1,
"ISR","LIFEEXP","WOMEN","YR","A","2016",84.2,
"ISR","LIFEEXP","WOMEN","YR","A","2017",84.6,
"ISR","LIFEEXP","WOMEN","YR","A","2018",84.8,
"RUS","LIFEEXP","MEN","YR","A","2015",65.9,
"RUS","LIFEEXP","MEN","YR","A","2016",66.5,
"RUS","LIFEEXP","MEN","YR","A","2017",67.5,
"RUS","LIFEEXP","MEN","YR","A","2018",67.8,
"RUS","LIFEEXP","TOT","YR","A","2015",71.3,
"RUS","LIFEEXP","TOT","YR","A","2016",71.8,
"RUS","LIFEEXP","TOT","YR","A","2017",72.6,
"RUS","LIFEEXP","TOT","YR","A","2018",72.8,
"RUS","LIFEEXP","WOMEN","YR","A","2015",76.7,
"RUS","LIFEEXP","WOMEN","YR","A","2016",77.1,
"RUS","LIFEEXP","WOMEN","YR","A","2017",77.6,
"RUS","LIFEEXP","WOMEN","YR","A","2018",77.8,
"SVN","LIFEEXP","MEN","YR","A","2015",77.8,
