"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU28","GDP","TOT","USD_CAP","A","2019",46776.045115,
"OECD","GDP","TOT","USD_CAP","A","2015",40485.357251,
"OECD","GDP","TOT","USD_CAP","A","2016",41879.923226,
"OECD","GDP","TOT","USD_CAP","A","2017",43585.667646,"P"
"OECD","GDP","TOT","USD_CAP","A","2018",45144.595708,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",46688.094842,"E"
"OECDE","GDP","TOT","USD_CAP","A","2015",38547.266619,
"OECDE","GDP","TOT","USD_CAP","A","2016",40522.293932,
"OECDE","GDP","TOT","USD_CAP","A","2017",42636.83528,
"OECDE","GDP","TOT","USD_CAP","A","2018",43988.275157,"P"
"OECDE","GDP","TOT","USD_CAP","A","2019",45589.333369,"P"
"LVA","GDP","TOT","USD_CAP","A","2015",24970.783932,
"LVA","GDP","TOT","USD_CAP","A","2016",26710.178634,
"LVA","GDP","TOT","USD_CAP","A","2017",28679.774835,
"LVA","GDP","TOT","USD_CAP","A","2018",30750.583395,
"LVA","GDP","TOT","USD_CAP","A","2019",32184.288656,
"BRA","GDP","TOT","USD_CAP","A","2015",14815.917618,
"BRA","GDP","TOT","USD_CAP","A","2016",14320.429688,
"BRA","GDP","TOT","USD_CAP","A","2017",14592.101979,
"LTU","GDP","TOT","USD_CAP","A","2015",28842.242746,
"LTU","GDP","TOT","USD_CAP","A","2016",30922.10721,
"LTU","GDP","TOT","USD_CAP","A","2017",33826.751533,
"LTU","GDP","TOT","USD_CAP","A","2018",36011.317619,
"LTU","GDP","TOT","USD_CAP","A","2019",38401.301718,
"SAU","GDP","TOT","USD_CAP","A","2015",48425.265093,
"SAU","GDP","TOT","USD_CAP","A","2016",45245.005781,
"EA19","GDP","TOT","USD_CAP","A","2015",41085.553918,
"EA19","GDP","TOT","USD_CAP","A","2016",43565.553465,
"EA19","GDP","TOT","USD_CAP","A","2017",45851.865398,
"EA19","GDP","TOT","USD_CAP","A","2018",47355.466139,
"EA19","GDP","TOT","USD_CAP","A","2019",49304.808045,
"ARG","GDP","TOT","USD_CAP","A","2015",20019.887621,
"ARG","GDP","TOT","USD_CAP","A","2016",20153.008006,
"ARG","GDP","TOT","USD_CAP","A","2017",23562.918839,
"ARG","GDP","TOT","USD_CAP","A","2018",23299.982767,
"ARG","GDP","TOT","USD_CAP","A","2019",22964.277907,
"CRI","GDP","TOT","USD_CAP","A","2015",16648.68596,
"CRI","GDP","TOT","USD_CAP","A","2016",18050.485401,
"CRI","GDP","TOT","USD_CAP","A","2017",19132.316344,"E"
"CRI","GDP","TOT","USD_CAP","A","2018",19867.23134,"E"
"CRI","GDP","TOT","USD_CAP","A","2019",20403.377287,"E"
"BGR","GDP","TOT","USD_CAP","A","2015",18342.039892,
"BGR","GDP","TOT","USD_CAP","A","2016",20009.53859,
"BGR","GDP","TOT","USD_CAP","A","2017",21447.18693,
"BGR","GDP","TOT","USD_CAP","A","2018",22670.47239,
"BGR","GDP","TOT","USD_CAP","A","2019",24505.885706,"P"
"HRV","GDP","TOT","USD_CAP","A","2015",22989.60823,
"HRV","GDP","TOT","USD_CAP","A","2016",24883.267327,
"HRV","GDP","TOT","USD_CAP","A","2017",26666.143784,
"HRV","GDP","TOT","USD_CAP","A","2018",28103.63248,"P"
"CYP","GDP","TOT","USD_CAP","A","2015",31722.271936,
"CYP","GDP","TOT","USD_CAP","A","2016",35609.078929,
"CYP","GDP","TOT","USD_CAP","A","2017",37915.706246,
"CYP","GDP","TOT","USD_CAP","A","2018",39859.071392,"P"
"CYP","GDP","TOT","USD_CAP","A","2019",41318.448297,"P"
"MLT","GDP","TOT","USD_CAP","A","2015",36166.944501,
"MLT","GDP","TOT","USD_CAP","A","2016",39029.406686,
"MLT","GDP","TOT","USD_CAP","A","2017",41812.336948,
"MLT","GDP","TOT","USD_CAP","A","2018",43763.343282,
"MLT","GDP","TOT","USD_CAP","A","2019",46019.850307,
"ROU","GDP","TOT","USD_CAP","A","2015",21624.4159,
"ROU","GDP","TOT","USD_CAP","A","2016",24311.047879,
"ROU","GDP","TOT","USD_CAP","A","2017",27292.631737,
"ROU","GDP","TOT","USD_CAP","A","2018",29303.833955,"P"
"ROU","GDP","TOT","USD_CAP","A","2019",32200.76322,"P"
"MKD","GDP","TOT","USD_CAP","A","2015",13891.9988,"E"
"MKD","GDP","TOT","USD_CAP","A","2016",15136.45706,"E"
"ZMB","GDP","TOT","USD_CAP","A","2015",3383.75171,
"ZMB","GDP","TOT","USD_CAP","A","2016",3359.029672,
"ZMB","GDP","TOT","USD_CAP","A","2017",3414.412499,
"HKG","GDP","TOT","USD_CAP","A","2015",56409.642787,"E"
"HKG","GDP","TOT","USD_CAP","A","2016",57229.735266,"E"
"HKG","GDP","TOT","USD_CAP","A","2017",59882.803146,"E"
"MDG","GDP","TOT","USD_CAP","A","2015",1549.577139,"E"
"MDG","GDP","TOT","USD_CAP","A","2016",1571.961332,"E"
"MAR","GDP","TOT","USD_CAP","A","2015",7249.966832,"E"
"MAR","GDP","TOT","USD_CAP","A","2016",7312.810289,"E"
"MAR","GDP","TOT","USD_CAP","A","2017",7581.215412,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",7928.326114,"E"
"SGP","GDP","TOT","USD_CAP","A","2015",86972.563073,
"SGP","GDP","TOT","USD_CAP","A","2016",89396.724443,
"SGP","GDP","TOT","USD_CAP","A","2017",94945.250892,
"SGP","GDP","TOT","USD_CAP","A","2018",101280.413499,
